,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27088750,我身体里的那个家伙,25d6e732342c3bc804b9a166c33e02ca,eec6db8759214dad47991b7931e8a473,3.0,2019-02-04 07:23:44,"注: 1.我给三星并不是仅基于以下三个问题，本片缺乏新意(换魂模式早已不新鲜)，四星就已是上限了。 2.豆友们不同意我观点的地方，有一点具有相当的一致性，那就是美善爱判秀，原谅顺理成章。我当然知道美善爱判秀，我也知道重归于好对她有好处，我只是在说从“不原谅”到“欢乐团圆”，缺少一个有力的触动。片中判秀在美善的饭店被黑社会胖揍，进了医院，就被原谅了，这又不是判秀设计的苦肉计，只是黑社会团体的利益纷争，怎么就打动美善了？

可以在后面设计这样一个桥段，女儿要开家长会，缺席十七年的判秀得知后不请自来，恰好原本要参加家长会的美善因为生意出发迟了(她不知道判秀去开家长会了)，到教室门口后发现判秀在里面，在所有家长面前发言，流着泪水诚挚地表达他对女儿的歉意，美善和女儿都哭了，就连平时欺负女儿的同学也被感染了。然后，她们原谅了判秀，一家人终于在一起了。这样发展，就顺很多。 另外，我写的第二点第三点，影片最后没有交待，我认为第二点是典型的为突出幸福快乐而忽略问题困难的拍法，一个人的老婆都能开车撞自己，想离婚就离婚？想摆脱就摆脱了？一个人去黑社会，还被认可做接班人，想金盆洗手就金盆洗手？第三点相对无所谓，两小孩的感情戏可以没有后文，因为贤正爱的是她爸爸那个风格。如果勇敢就能感人，她早喜欢东贤了。 ~~~~~~~~~~~~~~~~~~~~~~~~ 三个问题: 1.餐馆老板美善和女儿贤正能轻易原谅混江湖的张判秀？当年为了上位，判秀抛弃美善娶了社长女儿，从此平步青云。可是隐瞒怀孕真相的美善含辛茹苦十七年，把女儿贤正拉扯大，贤正从小缺少父爱，因为没有爸爸在学校一直被欺负，这些是一句道歉或者一栋房子就能立刻弥补的？ 2.判秀如何脱离原有的家庭和社团？他老婆偷情，栽赃他，又开车撞他，估计判秀非离婚不可。但社长岳父会轻易同意么？如果判秀因为被谋害而让老婆进监狱，那集团就彻底没接班人了，而且他老婆说不定鱼死网破，把他的污点都告发出来，最后同归于尽。如果判秀看情面决定把事压下来，他老婆估计就不会继续作死，而他岳父就欠了他一个大人情，怎么回报？本来就想判秀接班，现在能轻易放走？ 3.贤正会和东贤在一起么？本来他俩都是学校的弱势群体，境遇的改观全因为判秀进入东贤的身体后，东贤化身威猛先生，各种路见不平、除恶扬善。判秀以爸爸的出发点，关心和保护贤正，让贤正萌发了情愫，作了告白。灵魂复原后，弱不禁风的东贤还会受到贤正的喜爱么？(他冒着生命危险在楼顶帮贤正拿鞋也是一种勇敢，但是通过贤正“我的事不用你管”的态度来看，这件事并没有引起她的好感，好感是他爸爸灵魂附身后产生的) 以剧本前面的铺陈，最后结尾的处理过于简单化、理想化。 给三星最重要的一个原因其实是本片缺乏新意，类似的片子相信大家都看过，这里就不赘述了。",102.0,52.0,152
1,1,27088750,我身体里的那个家伙,4b7bf9d7a101f8f3324715874ea1e6ab,f326d7478e9c1067762038e06d36a18e,4.0,2019-08-12 15:48:05,"今天玛妮想跟大家聊一个“开脑洞”的话题，也是我时不时就会有的小念头： 假如有一天你一觉醒来，发现自己的灵魂住进了另一个人的身体里！而自己本来的身体，已经被别人的灵魂占用了，你怎么办？  每次看到灵魂互换的电影，都会问自己：如果是我，会果断丢掉过去，一路开挂走上人生巅峰，还是要千方百计回到曾经的身体里去？ 影视剧的主角们遇到这种问题，似乎都果断选择了后者……灵魂互换的梗这些年层出不穷，小伙伴们估计没看过也会听说不少。 玛妮把这类题材的影视作品分成了两种，一种是两个互相对立且熟悉的身份互换，比如2003年的电影《辣妈辣妹》：  另一种则是两个性别对立的灵魂互换，比如经典的《秘密花园》。两种都利用身份的对立制造冲突点，玩浪漫搞成长套路多多。  最近，玛妮发现韩国人又把灵魂互换梗玩出了新高度，出现了第三种类型——两个灵魂互换的身份看似毫无关联，实际上又有着千丝万缕的联系。 这部韩国电影叫做《我身体里的那个家伙》，两位灵魂互换的男主长相概括起来就是帅大叔+小狼狗。  豆瓣评论的画风也五花八门：大婶和鲜肉接吻接受无能？主角大叔躺了三分之二的戏份？韩国爱豆转型演技满分？ 评论就已经自成一出好戏。  这部让网友反响如此激烈的灵魂互换电影究竟玩出了什么新花样？让玛妮来为你一一解答！    《我身体里的那个家伙》里两个灵魂互换的人物，是之前从未有过的类型，两个角色看起来毫不相关天壤之别。 一个是黑帮老大张判秀，电影一开始人未出场气势先行。有着匀称的肌肉和满背的纹身……  以及华丽的豪宅和无爱的富二代娇妻。  出门一群小弟鞍前马后王者簇拥。  既有高学历身份，又有黑毒狠手段。大手一挥，手下立马带着小弟们暴力胁迫商厦住户、强制拆迁。  感受一下，这位心狠手辣但外表优雅的大叔美颜。  外表和气质已经非常贴合角色，张判秀大叔瞬息万变的眼神杀更是一绝。 片中大叔昔日的马仔来跟他讨价还价要业务，上一秒大叔还在绅士的微笑，下一秒就眼神骤变霸气狠决。  而与黑道大叔交换灵魂的角色，对比起来可以用两个字来形容——弱鸡。 肥宅吃货兼校园霸凌对象东贤。  两人的命运因为在同一家面店吃面而产生交集。 大叔在神秘老板娘的撺掇下不情不愿地替少年东贤付了面钱后，一份送给两人的“神奇礼物”已经悄然打开……  少年东贤常年被校园霸凌，吃完面赶回学校的他被校霸们逼迫，站在天台边缘帮心仪的女孩拿回挂在天线上的鞋子，脚下一滑不慎坠楼。 而楼下正是因道路施工下车抽烟的大叔，从天而降的横祸成功让两人灵魂互换。  本片与以往灵魂互换套路不同的是，电影一开始先让灵魂住在少年东贤身体里的大叔张判秀苏醒过来。 在剧情过了三分之二时，才让大叔身少年心的东贤醒来，不同阶段的苏醒造成了不同感觉的爆笑效果。 张判秀在医院醒来后的一系列反应完全戳中玛妮笑点，看到对面病床上躺着的自己的身体不可置信。  看见镜子里自己胖乎乎的高中生脸庞更是五雷轰顶。  更不用说老爸已经去世十多年的张判秀，被东贤父亲抱在怀里时的精神震荡。 无巧不成书，这位父亲刚好是前不久张判秀让手下去暴力胁迫的拆迁户。  绝望的张判秀顶着全新的胖肚子想去找面店老板娘问个明白，却被告知根本就没有这样一家面店。  两个身份南辕北辙的人欢喜相逢，一场啼笑皆非的灵魂互换故事就此欢乐展开。 校园霸凌新反击 东贤被校园霸凌的事件是这部电影的主线之一，影片用喜剧的方式解构校园霸凌，呈现了校园霸凌事件中小丑般的群像。 身体里住着黑帮大叔张判秀灵魂的少年东贤（以下简称新东贤）为调查自己灵魂互换事故的始末，随东贤父亲去学校找老师询问情况，一步步揭开了校园霸凌的真相…… 大事化小的老师： 校长面对东贤父亲对孩子是否被霸凌的询问时，一口咬定什么坏事都没有发生。  懦弱的家长： 社会地位低下的东贤父亲，在校长理直气壮狡辩之际，虽然心里仍然怀疑，嘴上的气势已经先弱下来。 继续询问的时候自己先低下了头……  除了东贤，他的心上人——少女贤正，也在被同校女生欺凌。  当新东贤找到贤正妈妈告诉她，女儿被欺凌的时候，妈妈的反应也和东贤爸爸一样懦弱： 无可奈何地责怪自己不该让女儿生活在这样穷苦的环境中。  无助的学生： 影片对校园霸凌场景使用的构图都很相似——被霸凌的学生面目清晰且孤单地身处画面中心点。 霸凌者们面目模糊但成群结队地围攻这些势单力薄的可怜人。  这些霸凌者为什么要欺负弱者？新东贤与一名霸凌者的对话让玛妮印象深刻。 新东贤问他自己这副身体的主人做了什么对不起他们的事吗，霸凌者的第一反应是愣住了，他们的霸凌没有缘由，有时人之初，真的性本恶！ 如果真的要找原因的话，仅仅是因为东贤比常人胖又好欺负，而贤正家庭情况差，又是单亲妈妈带大的，同样好欺负。  影片的整体基调是喜剧，所以主角们应对霸凌的超解气反击方式也同样欢乐励志又不失道理。 方式一：展现强硬态度，正面反击
 毕竟新东贤体内住着的是叱咤黑道几十年的大叔张判秀，所以他不仅扬眉吐气教训了小混混们，还夺回了自己出事当天被校园霸凌的手机录像。  方式二：强大自己，才有实力反击 女主角贤正也在新东贤的督促下，进健身房锻炼身体学习拳术，一点点积累反击力量。  下一次校园霸凌的恶女们围上来挑衅“你是不是不想在学校好好过”时，贤正有底气正面刚：“我不怕你，就是因为我想在学校好好过。”  另一方面，在陪伴贤正练习拳术的过程中，新东贤也在疯狂燃烧卡路里，从肥宅蜕变成校草，身心都健康起来。  错位爱情新聚首 看到上述的情节，你或许以为这是一个黑帮大叔灵魂附身校园少年，拯救并恋上苦情少女的故事？NO！ 这就是玛妮喜欢本片的原因，它套路化但又跳出套路——新东贤爱的是贤正的妈妈，美善。  原来美善是张判秀大叔年轻时的恋人因为判秀大叔混迹黑帮产生了观念分歧而分手。 但大叔并不知道，分手时美善已经怀了他的孩子，这个孩子就是贤正。 他的灵魂依旧爱着美善，但他的身体，成了自己女儿的同班同学。 美善为感谢新东贤帮助贤正摆脱校园霸凌，请他在自己的面店吃饭。 吃饭间隙几个醉汉闹事，新东贤和醉汉大打出手的时候情不自禁地叫了美善原名，一句“你刚抓了我女人的头是不是”的台词放在少年外表下，又怪异又苏。  但也因为这次闹剧，美善发现了新东贤体内，其实住着和自己纠葛几十年的冤家张判秀。 新东贤想弥补自己对美善母女的多年亏欠，美善却觉得这些并不是他突然以这样奇异方式回来说一句对不起就能抹平的。  新东贤和美善因为外表差距造成的反差笑果让玛妮笑到头掉。两人在咖啡厅见面争吵当年的纠结情缘，美善质问：“你不是已经结婚，连老婆都有了吗？” 不明真相的吃瓜群众看到她质问的是胶原蛋白满满，未满十八岁的新东贤，纷纷侧目。  豆瓣点赞最高的评论，也来自于这一名场面，新东贤为了挽回美善，捧着美善的脑袋霸气一吻。  仔细看旁边虚焦都无法遮住的服务员惊呆的表情，hhhh……  这段曲折离奇又笑料不断的感情，因为女儿的情感加入更添重磅笑料。女儿爱上了拥有爸爸灵魂的新东贤。  为了打消女儿对自己不该有的爱，新东贤当着女儿的面大声宣告：“我爱你妈妈”，让人笑到脸疼。  他劝美善的话也是爆笑又无法反驳。  片中的感情戏，除了搞笑外，其实也有深情的一面。新东贤带着苏醒后的张判秀来见美善，想骗美善自己的灵魂已经归位，让美善不要赶自己离开她身边。 然而祸不单行，张判秀的黑帮仇家寻了过来，在美善的店里和新东贤大打出手。 值得一提的是，因为拥有黑帮大叔的灵魂，片中有大量新东贤帅气十足的打戏，这也是饰演东贤的韩国爱豆郑真英演技被认可，疯狂收割一波少女心的原因之一。 





 在新东贤寡不敌众差点被对手割喉之际，美善抱着煤气罐高举打火机勇敢现身。 一边威胁黑帮成员们要是再不走同归于尽，一边对张判秀深情剖白，讲述自己十七年如一日对他的爱，让人感动不已。  饰演美善的韩国国民妈妈罗美兰，这段神演技被豆瓣网友夸赞为让人看到“女人能顶半边天的力量”。 劫后余生时美善对着张判秀的皮囊说出自己的真心话，笑容带泪的样子也令人动容。  反差亲情新笑泪 片中各种关于亲情的小细节也让玛妮很感动，新东贤第一次去贤正家，看到女儿婴儿时期的照片，瞬间泪目的样子让人心疼。  新东贤十多年前失去父亲，在新爸爸身上找到亲情影子的情节也触动人心。 大叔劝新东贤不要减肥，还温情地说你本来就很好看的时候，像玛妮一样的吃货们，被柔软地击中了内心。  不过当剧情进行到三分之二，大叔真正的儿子，住在张判秀身体里的东贤回家时，大叔就温情不起来了。 看到一个有着幼稚灵魂的大叔抱着另一个手足无措发际线赛高的大叔撒娇，玛妮真的是笑喷了，后三分之一的剧情也成为全片笑料的高潮！  整部电影一共2个小时，大家有空的时候可以把它当做解压甜点一般享用，玛妮写出的还只是片中的部分看点，精彩笑点和剧情还大大的有！ 





 玛妮认真地想过为什么像灵魂互换这样的旧梗，永远有人爱看？ 一来是因为对于优秀的创作者来说，不怕旧梗，他们永远能找到新的角度。 二来是因为你我这样的凡人，没有机会体验别人的人生，但又对别人的人生，对这个世界充满好奇。 





 这也是玛妮喜欢电影的原因——为我们提供一种方式，短暂地体验别人的人生。 电影也让玛妮，有机会能和大家相遇。",56.0,2.0,8
2,2,27088750,我身体里的那个家伙,cda4c6dafeb39aaf9295d9adae999f48,28f48891069d46dfbee99b18d0fe9842,4.0,2019-08-29 10:58:42,近日，一部韩国电影从上映到现在，一路好评飙升，深受观众的喜爱，这部电影就是姜孝镇导演的《我身体里的那个家伙》剧情看着有点揪心，又有点搞笑，还觉得有点不可思议……  这部电影讲述了一位高中生金东贤（郑真英 饰）因为在学校被同学欺凌，一直是懦弱无为地被人称为“死肥猪”，在一次被同学威胁去阳台捡鞋时，却意外地从阳台上跌落，砸到了正在楼下打电话的黑帮大佬张判秀（朴圣雄 饰）。        🎬少年与黑帮大佬的“变形记”🎬 一觉醒来，俩人竟互换了身体 。一个十七岁的花季少年的身体里住着一个四十岁的抠脚大叔，这画面太美不敢想象(  *∇*)我太难了～～从此，一直被欺凌的高中生金东贤开始了逆袭之路，一路开挂模式，成功成为学校里的大哥大，还成功地从一个三百斤的大胖子减肥到一个众人羡慕的美男子（剧情太颠覆了，我也想要啊啊啊啊啊，谁来拯救一下我这个可怜的孩子🙃）        🎬你别爱我，因为我爱是你妈🎬 黑帮大佬后来查清了真相，知道自己是因为胖子意外跌倒在自己身上才互换了身体。但是，他同时知道了另一个真相“少年一直喜欢的女同学是他的女儿李垂珉（吴贤静 饰），女同学的妈妈就是他的前妻吴美善（罗美兰 饰）。”为此，他就一直在学校保护女儿。不料却因为少年一次次地帮助她，竟然有一天自己的女儿向自己表白了，但大叔却说“我爱的人是你妈啊。”女儿当场气疯，指着母亲说你们竟然搞乱伦。后来上演一个清纯少年在店里强吻大妈的画面（当场笑喷，强烈推荐此片段不要喝水🥛）            🎬灵魂回归之美好大结局🎬 最后，少年苏醒过来，误打误撞地董事长所有的遗产都放弃了。但董事长的女儿怀恨在心，因为想报复他，所以在转角处遇到大叔时，就一脚踩空油门。大叔及时推开年少，他为此受了重伤。之后大叔被送到医院。在大叔还在对女儿说“我是你爸爸，爸爸是爱你的”就晕了过去，同时少年也晕倒了。当他们再次苏醒过后，他们的身体又重新换了过来。从此，他们都成为了一家人👨👩👧👧，过着幸福快乐的生活！,2.0,,0
3,3,27088750,我身体里的那个家伙,5a11d27007e5a52d7ff5f78f31665fe4,128deedce6b44c70a07631100d4fa75b,4.0,2019-03-12 22:38:28,这虽然是一个看到片名就能看到结局的片子，但是在结局之前，导演和编剧如何为我们描述一个大团圆结局之前的故事，依然是很值得一看的。 故事的发生也是套路，从楼上掉下的肥宅砸到了大叔，然后大叔变身肥宅，成功逆袭，暴打高富帅。这种极度套路的逆袭剧情，我虽然看出了这种套路，还有导演通过这种套路吸引观众眼球的手段，可还是觉得好看。虽然创新啥的没有，也没有啥令人深思的点，可是作为一个爆米花电影是非常不错的了。 电影，就得有一个明确的定位，然后根据其定位来设定。如果想要拍出自己的风格，那就肯定有可能叫好不叫座，广大的观众不一定买账，有特色的电影票房又非常高的情况存在吗？肯定是存在的，不过没那么多就是了。而如果就想挣钱，那就得搞套路，套路剧情，套路演员，俊男靓女，套路特效，事实证明，这样的片子只要不是剧情太流于俗套，一般都会获得成功。 韩国电影其实这一点做的挺好，艺术片是真的艺术，比如金基德的几部戏，看的叫人迷迷糊糊的，可是商业电影那是一个真商业，全是套路，几乎都是一个模板出来的，那问题来了，既然都是套路，为啥观众看不腻呢，首先我觉得观众对于这种套路的接受水平是非常高的，一般不会看腻，无非就是打斗，然后特效，报仇快感之类的，而向全部表现出上述的特色来，其实也不是套路那么简单了，电影千千万，好看的总是比烂片少的，至于怎么在套路的基础上创新，那就得看导演的能力了。 不论怎么说，这一部电影，我觉得实在这种套路的基础上做了创新，融合了许多不同的元素并让他们毫无违和感的在一起，这是不容易的，所以还是非常推荐。,2.0,,0
4,4,27088750,我身体里的那个家伙,e14db5c5687c84745781c1d07587c4b7,e0f7242e5b514e7fe324f05278a8cbfd,4.0,2021-11-28 19:50:45,这个男主有些地方是真的好可爱啊嚯哈哈哈哈哈，这个被女生表白的地方就很绝，小表情哈哈哈哈哈哈哈哈哈哈哈，笑死我了！！！！绝了绝了！！！这部剧的结尾也很不错，两个家庭一起同学们也友爱起来了，整体感觉就挺好的！有一说一，男主的演技是很不错的，两个性格很好地体现出来了！！！！！！！总而言之，我还挺喜欢这部剧的！,,,0
5,5,27088750,我身体里的那个家伙,e14db5c5687c84745781c1d07587c4b7,e0f7242e5b514e7fe324f05278a8cbfd,4.0,2021-11-28 17:49:22,很少看韩剧，特别少，不过这一部电影因为舍友特别想看，所以就一起去了。说实话，感觉很不错！主演的演技很不错诶！让人有看下去的欲望，而且故事也很棒，感觉剧情线很完整，而且不是那种让人一下子就可以猜到接下来剧情的发展情况的。就很吸引人往下面看，整体来说很不错嘞！ 有一点其实挺感慨的，校园暴力这个东西啊，什么时候才可以真正消失啊。太多人深受其害了。,,,0
6,6,27088750,我身体里的那个家伙,bf9aa314195bb1caa8c953019d4b6805,1abcf1622371d03f992001cb6cd78919,,2021-08-18 16:17:53,"这部电影讲述了一位高中生金东贤（郑真英 饰）因为在学校被同学欺凌，一直是懦弱无为地被人称为“死肥猪”，在一次被同学威胁去阳台捡鞋时，却意外地从阳台上跌落，砸到了正在楼下打电话的黑帮大佬张判秀（朴圣雄 饰）。

       🎬少年与黑帮大佬的“变形记”🎬

一觉醒来，俩人竟互换了身体 。一个十七岁的花季少年的身体里住着一个四十岁的抠脚大叔，这画面太美不敢想象(  *∇*)我太难了～～从此，一直被欺凌的高中生金东贤开始了逆袭之路，一路开挂模式，成功成为学校里的大哥大，还成功地从一个三百斤的大胖子减肥到一个众人羡慕的美男子",,,0
7,7,27088750,我身体里的那个家伙,8c17360eccb7a0d8ece7c333d10c94cc,b4e74174e5d35a9c25bcd2ff7f8c636e,3.0,2021-06-22 11:06:42,初恋居然是那个 豹子女士，年轻时候就是瘦版的宝拉？我肯定是魔怔了这个也太串台了。 作为喜剧片还算是可以的，脑洞不小，电影有笑点也有剧情也有爽点，并不无厘头的搞笑。作为男配其实很幸运， 传说中的代练，一觉醒来，女朋友有了，妹纸还漂亮，老丈人有了，还是个有钱的老丈人，好身材有了人生赢家。这是多少男生心中的梦想 ！,,,0
8,8,27088750,我身体里的那个家伙,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,3.0,2021-06-09 12:22:12,"含泪的微笑，韩式喜剧可以演绎至极致。
逆袭的畅快淋漓，江湖纷争的刀棍相见，让这部韩国版的《夏洛特烦恼》更加的精彩，矛盾冲突也更加的淋漓尽致。
生死一线，爱情因为守护而温暖，看淡了谁对谁错…… 含泪的微笑，韩式喜剧可以演绎至极致。
逆袭的畅快淋漓，江湖纷争的刀棍相见，让这部韩国版的《夏洛特烦恼》更加的精彩，矛盾冲突也更加的淋漓尽致。
生死一线，爱情因为守护而温暖，看淡了谁对谁错……",1.0,,0
9,9,27088750,我身体里的那个家伙,175297181d61ad54bef92e63c2b800a3,9c18c0b63cde22b382fb9f3da8945e8f,4.0,2021-02-19 14:48:50,"我体内的那个家伙，太逗了。
开篇的满背纹身，让人误以为看的是黑帮片呢。
1、就是一个灵魂互换的故事，有点类似于穿越的感觉。
2、男主成了高中生，凭借中年人的睿智和强劲的体魄，不仅KO了当时欺负高中生的霸凌，还顺道减肥成功，成为学生中的男神，结果发现之前的高中生的青梅竹马的妈妈居然是自己的初恋女友，而青梅竹马对焕然一新的男主爱慕有加······
3、脑洞大开的思路，整个剧情都很搞笑，笑点不少，特别是带着高中生灵魂的大叔，抱着自己的父亲，两个40多的大男人亲昵的让人捧腹。
4、动作场面很耐看。
5、小女主不错，养眼。
6、男主的高中生造型，着实就是今天网红小鲜肉的模块产品，这无感，可忽略。",,,1
10,10,27088750,我身体里的那个家伙,cabbf0e205057c2f8d20aed97e545f6c,de39269e42e407ff62395a17520b4557,5.0,2021-01-06 13:38:56,挺好看的，男主黑社会，男二是个在学校受欺负的男的，胖子，然后男主和会长女儿结婚了，一天，男主思念情人，在一家面馆里吃面，完事还给男二付钱了，这个店主就是主要人物，然后路上堵车，男主出来打电话，这个时候男二被欺负，要他在阳台上拿鞋子，然后就摔下去了，和男主互换了身体，然后，男二拿着男主的身体一直昏迷，男主就开始代替男二上学，到学校就把那些欺负他的人打了一顿，女主也是在学校里被欺负，然后男主的手下开始还不相信，后来相信了，然后男主发现这个身体太胖了，就带着女主去健身，然后男主一下子就变帅了，而且男主发现，女主他妈，就是自己的情人，女主也是他女儿，然后男主最后摊牌了，他妈还是接受不了，然后男二也醒了，反派也找来了，打斗一番，被逼退了，然后男主老婆还准备陷害男主，结果被男主知道了，男主一直希望情人原谅他，但是一直没办法原谅，最后男主放弃了家产，准备和情人在一起，然后他老婆很生气，把男主撞了，然后男主和男二又把身体换回来了。然后过上了幸福的生活。,,,0
11,11,27088750,我身体里的那个家伙,807be89150d9911f61587f957db53dc2,1ed54c39a87177433c7d6e18cdde0fe3,,2020-10-12 01:39:14,7月初看的电影，拖到现在才发感受，说好的一个星期坚持一部电影就只有四月份做到了。第一次看韩国电影是《熔炉》，第二次是《釜山行》，严格意义上这是第三部我看的韩国影片。前两部让我看到了韩国电影中的深邃和人性暗底，一度令我怀疑大家眼中口中那甜美无脑的韩剧是否存在。       《我身体里的那个家伙》明显是部爽文，肥胖平凡的金秀贤和有钱有势的张张判秀，最后变成高富帅“金秀贤”，这怎么看都是矮矬穷一步超越自我与现实，辉煌腾达的梦想啊。最终，我终于在这里找到了韩剧里面存在的精髓。其实还是比较感动于张判秀对于前女友以及女儿的爱和悔过的，但是韩剧梗又来了，作为有钱有势的黑帮，在小小的国家里居然找不到从未更改过姓名活着的前女友?这让后期的温情和惦念很无厘头。         欺凌一直是校园剧的重要话题，电影里面以社会力量（张判秀的出现）打破了这种不公的现象，是否也暗示着校园欺凌一定程度上需要依靠除了校方微弱力量的其余社会力量来制止呢？希望下一次再见校园欺凌，最终都将有个普众的解决方法可以呈现给大众。        补充一下金秀贤父亲的形象也是比较两面的，爱赌博没工作没妻子但爱子情深，可是方法又不对，一味地从饮食上宠溺，最终金秀贤吃成胖子，却从来不知道儿子在学校的事情。电影没有特别深刻地展现父亲的转变过程。其次是韩剧中类似神婆或预言家的形象，这个还是比较常见的。,,,0
12,12,27088750,我身体里的那个家伙,b2d177088a3eda52d168de5b6e4b5169,121f4ec292bf5f2b00c89fa0b7bc0462,4.0,2020-10-04 19:16:18,身份迥异的两个人互换了灵魂，好像（学霸）和学渣互换了身份。睿智与懦弱，不会因为年龄改变就会变化，性格是比较固定的，也是需要去触碰冲击的。妄想这着年龄可以改变性格，到了一定年龄就可更加老成，更加勇敢。如果光是以年龄要求自己，那可能做不太到，需要发自内心的自信与力量。我侧面的解读，不喜勿喷,,,0
13,13,27088750,我身体里的那个家伙,bc52536d7037cee81c1833267fdac01b,4f3a0ea8280ef315ba5aabcf17f521b8,,2020-08-17 22:05:56,首先，这个片子的应该是黑帮、爱情、校园、奇幻复合类型的片子，奇幻方面用了在现在看来已经非常俗套的高概念：灵魂互换，有多俗套，一拉片单一大串。以前更多的是男女换，借用性别上的拧巴错误制造戏剧冲突，然后人物在各自完成弧光。这个老少换，按理说一个高中生、一个黑帮老大的人物设定，应该是有看点的，错位的架子也搭好了，也是可以沿着这个方向往下拍的，无论喜剧、家庭伦理、甚至惊悚类型我觉得都有得写。但编剧偏偏怎么毁怎么来，不按套路出牌，非要单线叙事，把校园变成了肥仔复仇战场，节奏拖沓不说，按理说这边应该也是喜剧的剧情走向，但无论主角、配角身上，都毫无喜感，顺便中间还要来个对剧情没有任何推动的“变身”，演员也是按照偶像剧的那一套耍帅摆酷，可惜了黑帮支线的演员，整个就是为年轻的偶像明星当背景板，妥妥的塑料韩剧拍法。然后这还没完，后面直接抄起了《重返十七岁》，具体情节看过的人都心知肚明，但后者就是单线任务、校园线、人物成长线都交代得很清楚，完成度甩这片儿不知道多少条街。前面毁了那么大段，在剧情上导致的最直接的后果就是，最后两个人的人物转变就显得特别突兀（尤其是黑帮身体高中生），而另一边，明明前一秒还在指挥人复仇，后一秒直接变脸，强行完成人物弧光。更扯的是，人都要死了，还非得停过道和女儿来这么一段，编剧和导演根本就没想好这要怎么拍，反正就硬停下讲台词就完了，完全没有任何常识和逻辑，更不要提最后父女感情的弥合也是直接抛观众一脸就起字幕吧。什么辣鸡片，就当排雷了！,1.0,4.0,1
14,14,27088750,我身体里的那个家伙,2422a3d2520529d2153ea9ca5c20e292,d3d3b6c0a696c41c36bf083db67bfc41,4.0,2020-07-15 11:24:31,"《我身体里的那个家伙》是韩国EchoFilm、THE PICTURES WITH A VIEW联合出品的奇幻喜剧电影，由姜孝镇执导，郑振永、朴成雄主演。
该片主要讲述了黑帮老大张判水和高中生金东贤因为意外，灵魂发生互换的故事。该片于2019年1月9日在韩国上映。 高中生金东贤（郑振永饰）意外从屋顶上跌落，正巧砸到了财阀社长张判水（朴成雄饰）的身上，两个人发生了灵魂互换。张判水以金东贤的模样遇见了自己的初恋美宣（罗美兰饰），以及美宣的女儿吴贤正（李垂珉饰）。张判水的内心泛起涟漪，不知道自己这副模样该如何接近美宣。然而，令张判水意想不到的事情还在后面，进入到判水身体的金东贤，其实一直暗恋着吴贤正。 金东贤
演员 郑振永
一个被孤立的高中生，外貌天然，在校备受欺凌。一天，从楼上意外坠落砸中财阀社长张判水，与其发生了灵魂互换。此后，虽然外貌还是单纯的高中生金东贤，但灵魂已变成了张判水这个厚颜无耻的流氓财阀。 张判水
演员 朴成雄
一个流氓，也是一名精明的企业家。被从楼上坠落的金东贤砸中，醒来后发现自己的身体已经和一个17岁的男孩发生了互换。虽然身体还是张判水，但灵魂却变成了高中生金东贤，一直想要摆脱现状。 我最喜欢的是，剧中打斗场面特别真实，男主角两个都好飒。 心得体会 1.不想被别人欺负，就要学会让自己变得强大。 2.没事，多运动锻炼，学习一些跆拳道，散打啥的，保命有用。 3.坚持改变自己终会成为想成为的样子。",1.0,,0
15,15,27088750,我身体里的那个家伙,d535e2757d30624f1f3e6da16d0dc420,3d570dc8f6853620e2000fef3b2b2c07,,2020-06-30 21:31:08,这部片子讲的是灵魂互换的老梗，但是我从中看出了另一面。两个不同性格，不同年龄的人在经历一次意外的灵魂互换。进而引发的一系列有趣的故事。 减肥后的男主好帅呀，对于现在的我们能进行一场灵魂互换该多好呀，如果能改变自己的人生轨迹该有多棒，懦弱的高中生最终变成了帅气的高中生但可能还是懦弱的，也许慢慢他可以建立起自信，当再次遇到不公平的事情时，自信会给他勇气。但我真的希望他变成那个有着黑帮老大的气场啊，超帅的。 真正的强大无关身型的胖瘦而且内心是否拥有充满力量的勇敢。,1.0,,0
16,16,27088750,我身体里的那个家伙,132ad5a23c4bcf308f9191d45bc24386,ca36dbad56f1a36144020c324c2b5824,3.0,2020-06-17 20:20:18,虽然有很多槽点，但剧情紧凑，不至于让人发困。 可能由于我对于校园霸凌问题比较敏感，这部剧对霸凌问题用欢乐的问题表达以及最后的goodending让我很不舒服。 如果我自己拍一部霸凌题材的剧，一定不会用乌托邦的结局，剧中也会给出我的解决之道，而不是简答的用嬉笑带过 力图让看到这部剧的小朋友有所收获，而不是简单的贩卖情绪,,,0
